[session 106 finished] 22:23:22;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 107 finished] 22:23:22;         actions taken = 27.0000;        mean reward = 0.1852;   total reward = 5.0000
[session 108 finished] 22:23:27;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 109 finished] 22:23:31;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 110 finished] 22:23:33;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 111 finished] 22:23:35;         actions taken = 222.0000;       mean reward = 0.0225;   total reward = 5.0000
[session 112 finished] 22:23:37;         actions taken = 161.0000;       mean reward = 0.0311;   total reward = 5.0000
[session 113 finished] 22:23:41;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 114 finished] 22:23:42;         actions taken = 135.0000;       mean reward = 0.0370;   total reward = 5.0000
[session 115 finished] 22:23:45;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 116 finished] 22:23:49;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 117 finished] 22:23:49;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000
[session 118 finished] 22:23:52;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 119 finished] 22:23:56;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 120 finished] 22:24:00;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 121 finished] 22:24:03;         actions taken = 249.0000;       mean reward = 0.0201;   total reward = 5.0000
[session 122 finished] 22:24:06;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 123 finished] 22:24:06;         actions taken = 53.0000;        mean reward = 0.0943;   total reward = 5.0000
[session 124 finished] 22:24:06;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000
[session 125 finished] 22:24:08;         actions taken = 229.0000;       mean reward = 0.0218;   total reward = 5.0000
[session 126 finished] 22:24:12;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 127 finished] 22:24:12;         actions taken = 2.0000;         mean reward = 2.5000;   total reward = 5.0000
[session 128 finished] 22:24:14;         actions taken = 165.0000;       mean reward = 0.0303;   total reward = 5.0000
[session 129 finished] 22:24:15;         actions taken = 135.0000;       mean reward = 0.0370;   total reward = 5.0000
[session 130 finished] 22:24:18;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 131 finished] 22:24:18;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000
[session 132 finished] 22:24:21;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 133 finished] 22:24:24;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 134 finished] 22:24:24;         actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000
[session 135 finished] 22:24:25;         actions taken = 163.0000;       mean reward = 0.0307;   total reward = 5.0000
[session 136 finished] 22:24:28;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 137 finished] 22:24:31;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 138 finished] 22:24:34;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 139 finished] 22:24:37;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 140 finished] 22:24:38;         actions taken = 117.0000;       mean reward = 0.0427;   total reward = 5.0000
[session 141 finished] 22:24:42;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 142 finished] 22:24:42;         actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000
[session 143 finished] 22:24:45;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 144 finished] 22:24:45;         actions taken = 92.0000;        mean reward = 0.0543;   total reward = 5.0000
[session 145 finished] 22:24:47;         actions taken = 281.0000;       mean reward = 0.0178;   total reward = 5.0000
[session 146 finished] 22:24:48;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000
[session 147 finished] 22:24:49;         actions taken = 136.0000;       mean reward = 0.0368;   total reward = 5.0000
[session 148 finished] 22:24:51;         actions taken = 249.0000;       mean reward = 0.0201;   total reward = 5.0000
[session 149 finished] 22:24:54;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 150 finished] 22:24:57;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 151 finished] 22:24:58;         actions taken = 97.0000;        mean reward = 0.0515;   total reward = 5.0000
[session 152 finished] 22:25:01;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 153 finished] 22:25:05;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 154 finished] 22:25:09;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 155 finished] 22:25:13;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 156 finished] 22:25:15;         actions taken = 231.0000;       mean reward = 0.0216;   total reward = 5.0000
[session 157 finished] 22:25:19;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 158 finished] 22:25:23;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 159 finished] 22:25:26;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 160 finished] 22:25:27;         actions taken = 194.0000;       mean reward = 0.0258;   total reward = 5.0000
[session 161 finished] 22:25:30;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 162 finished] 22:25:33;         actions taken = 242.0000;       mean reward = 0.0207;   total reward = 5.0000
[session 163 finished] 22:25:35;         actions taken = 187.0000;       mean reward = 0.0267;   total reward = 5.0000
[session 164 finished] 22:25:36;         actions taken = 156.0000;       mean reward = 0.0321;   total reward = 5.0000
[session 165 finished] 22:25:40;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 166 finished] 22:25:41;         actions taken = 199.0000;       mean reward = 0.0251;   total reward = 5.0000
[session 167 finished] 22:25:43;         actions taken = 212.0000;       mean reward = 0.0236;   total reward = 5.0000
[session 168 finished] 22:25:47;         actions taken = 348.0000;       mean reward = 0.0144;   total reward = 5.0000
[session 169 finished] 22:25:49;         actions taken = 173.0000;       mean reward = 0.0289;   total reward = 5.0000
[session 170 finished] 22:25:50;         actions taken = 213.0000;       mean reward = 0.0235;   total reward = 5.0000
[session 171 finished] 22:25:53;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 172 finished] 22:25:57;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 173 finished] 22:25:57;         actions taken = 66.0000;        mean reward = 0.0758;   total reward = 5.0000
[session 174 finished] 22:26:01;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 175 finished] 22:26:04;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 176 finished] 22:26:05;         actions taken = 179.0000;       mean reward = 0.0279;   total reward = 5.0000
[session 177 finished] 22:26:08;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 178 finished] 22:26:10;         actions taken = 171.0000;       mean reward = 0.0292;   total reward = 5.0000
[session 179 finished] 22:26:11;         actions taken = 173.0000;       mean reward = 0.0289;   total reward = 5.0000
[session 180 finished] 22:26:11;         actions taken = 29.0000;        mean reward = 0.1724;   total reward = 5.0000
[session 181 finished] 22:26:12;         actions taken = 128.0000;       mean reward = 0.0391;   total reward = 5.0000
[session 182 finished] 22:26:16;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 183 finished] 22:26:20;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 184 finished] 22:26:22;         actions taken = 273.0000;       mean reward = 0.0183;   total reward = 5.0000
[session 185 finished] 22:26:25;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 186 finished] 22:26:26;         actions taken = 77.0000;        mean reward = 0.0649;   total reward = 5.0000
[session 187 finished] 22:26:30;         actions taken = 329.0000;       mean reward = 0.0152;   total reward = 5.0000
[session 188 finished] 22:26:30;         actions taken = 111.0000;       mean reward = 0.0450;   total reward = 5.0000
[session 189 finished] 22:26:33;         actions taken = 237.0000;       mean reward = 0.0211;   total reward = 5.0000
[session 190 finished] 22:26:33;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000
[session 191 finished] 22:26:33;         actions taken = 61.0000;        mean reward = 0.0820;   total reward = 5.0000
[session 192 finished] 22:26:33;         actions taken = 27.0000;        mean reward = 0.1852;   total reward = 5.0000
[session 193 finished] 22:26:37;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 194 finished] 22:26:40;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 195 finished] 22:26:43;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 196 finished] 22:26:43;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000
[session 197 finished] 22:26:44;         actions taken = 71.0000;        mean reward = 0.0704;   total reward = 5.0000
[session 198 finished] 22:26:48;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000
[session 199 finished] 22:26:49;         actions taken = 83.0000;        mean reward = 0.0602;   total reward = 5.0000
Agent succeed in catching object in 114/200 (56.99999999999999%) episodes
End of training, average actions to catch: 156.46491228070175
